"DeviceProtection","InternetService","MonthlyCharges","OnlineBackup","OnlineSecurity","PaperlessBilling","SeniorCitizen","StreamingMovies","StreamingTV","TechSupport","Churn","Contract","Dependents","Partner","PaymentMethod","TotalCharges","tenure","MultipleLines","PhoneService","customerID","gender" 
"Yes","Fiber optic",85.81,"Yes","No","No",0,"Yes","No","No","No","Two year","No","Yes","Credit card (automatic)",6866.122,67,"Yes","Yes","1549-UVMDD","Female"
"No","Fiber optic",73.5,"Yes","Yes","Yes",0,"Yes","No","Yes","No","One year","No","Yes","Bank transfer (automatic)",3914.69,50,"Yes","Yes","3130-UFGVJ","Male"
"No","DSL",54.786,"No","No","Yes",0,"No","Yes","No","Yes","Month-to-month","No","No","Mailed check",63.27,3,"Yes","Yes","1437-IHITS","Male"
"No","Fiber optic",108.173,"No","No","Yes",0,"Yes","Yes","No","No","Two year","No","Yes","Mailed check",3834.29,72,"No","Yes","1534-VQTII","Female"
"Yes","Fiber optic",71.5,"No","Yes","Yes",1,"Yes","Yes","No","Yes","Month-to-month","Yes","No","Electronic check",4014.69,47,"Yes","Yes","7954-BEUWX","Female"
"Yes","DSL",55.9,"Yes","No","Yes",0,"Yes","No","Yes","No","Two year","No","Yes","Credit card (automatic)",3376.73,37,"Yes","Yes","6622-HTVXS","Female"
"No","Fiber optic",84.0,"No","No","Yes",0,"No","Yes","Yes","No","One year","Yes","Yes","Credit card (automatic)",1141,15,"Yes","Yes","0222-BWWXH","Male"
"No","Fiber optic",83.602,"Yes","Yes","Yes",0,"Yes","No","No","Yes","Month-to-month","No","Yes","Credit card (automatic)",1518.37,16,"No","Yes","4234-CPAFR","Female"
"No","Fiber optic",96.8,"Yes","No","Yes",0,"Yes","Yes","No","No","Two year","No","No","Bank transfer (automatic)",1420.41,72,"No","Yes","2052-DFGDF","Female"
"No","Fiber optic",98.1,"No","No","Yes",0,"No","No","Yes","Yes","Month-to-month","Yes","No","Electronic check",387.755,6,"Yes","Yes","6384-FINYX","Male"
"No internet service","No",19.92,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","Yes","One year","No","Yes","Mailed check",817.14,47,"No","Yes","1024-HPNQT","Male"
"No","Fiber optic",110.194,"Yes","Yes","Yes",0,"Yes","Yes","No","No","Month-to-month","No","No","Mailed check",1259.59,22,"No","Yes","1650-YZJKO","Female"
"No","Fiber optic",73.622,"No","No","Yes",0,"No","Yes","Yes","No","Two year","No","Yes","Credit card (automatic)",6380.408,71,"No","Yes","5118-XWWBI","Male"
"Yes","DSL",84.265,"No","Yes","Yes",0,"No","Yes","No","No","Month-to-month","Yes","Yes","Electronic check",2062.0408,24,"No","Yes","0694-VCRRX","Male"
"Yes","Fiber optic",99.459,"No","No","No",0,"No","Yes","No","No","Two year","Yes","Yes","Bank transfer (automatic)",6868.57,63,"No","Yes","6374-PHAHJ","Male"
"No","DSL",68.939,"No","No","Yes",1,"Yes","No","No","No","Month-to-month","Yes","Yes","Bank transfer (automatic)",894.29,39,"No","Yes","1735-BFVAZ","Female"
"No","Fiber optic",105.112,"No","Yes","Yes",0,"Yes","Yes","No","No","Two year","No","No","Credit card (automatic)",1938.37,72,"No","Yes","5104-LFNSJ","Male"
"No","DSL",50.133,"Yes","Yes","Yes",0,"Yes","No","No","No","Month-to-month","Yes","No","Mailed check",636.33,11,"Yes","Yes","4307-CSGWY","Female"
"Yes","DSL",35.316,"Yes","No","Yes",0,"Yes","No","Yes","No","Month-to-month","No","Yes","Electronic check",2551.8367,31,"Yes","Yes","0230-RZPFW","Male"
"No","Fiber optic",109.79,"No","No","Yes",0,"Yes","Yes","Yes","No","Month-to-month","Yes","Yes","Bank transfer (automatic)",3088.571,46,"Yes","Yes","0407-IJCPM","Female"
"Yes","Fiber optic",100.3,"No","Yes","Yes",0,"Yes","Yes","Yes","No","Month-to-month","No","Yes","Credit card (automatic)",1680.8163,65,"No","Yes","5740-ESMHQ","Female"
"No","Fiber optic",85.88,"Yes","Yes","Yes",0,"No","No","Yes","No","Month-to-month","Yes","No","Bank transfer (automatic)",610,36,"No","Yes","8488-CACEY","Female"
"No","DSL",50.929,"No","Yes","Yes",0,"No","Yes","No","No","Month-to-month","Yes","No","Credit card (automatic)",1064,27,"No","Yes","7626-EKRIW","Female"
"No","Fiber optic",79.51,"No","Yes","Yes",0,"No","No","No","No","One year","No","No","Electronic check",623.6735,36,"No","Yes","3029-ARVVR","Male"
"Yes","Fiber optic",89.5,"No","No","Yes",0,"No","Yes","No","Yes","One year","No","No","Mailed check",3688.571,59,"No","Yes","5432-TRUMY","Female"
"No","DSL",59.551,"Yes","No","Yes",0,"Yes","No","No","No","One year","Yes","Yes","Mailed check",775.51,11,"Yes","Yes","9512-ADMQZ","Female"
"Yes","DSL",80.969,"Yes","No","No",0,"Yes","Yes","Yes","No","One year","Yes","Yes","Mailed check",1465.31,29,"No","Yes","2761-LOBPW","Female"
"Yes","DSL",61.1,"Yes","Yes","Yes",0,"No","No","Yes","No","Two year","No","No","Credit card (automatic)",5942.45,72,"No","Yes","6780-BSVPX","Male"
"No internet service","No",24.65,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","Month-to-month","No","No","Mailed check",2216.7347,27,"No","Yes","1471-OTBTY","Male"
"No","DSL",29.4,"No","No","No",0,"Yes","Yes","No","No","Month-to-month","No","No","Credit card (automatic)",2348.571,32,"Yes","Yes","1311-IFKJP","Male"
"No","Fiber optic",75.092,"No","Yes","Yes",0,"No","No","Yes","No","Month-to-month","Yes","Yes","Credit card (automatic)",3652.6530612244896,38,"No","Yes","7407-MTHRU","Female"
"Yes","Fiber optic",99.37,"No","Yes","No",0,"Yes","Yes","No","No","Two year","No","Yes","Credit card (automatic)",4224.49,42,"No","Yes","2328-JOTXQ","Female"
"Yes","Fiber optic",90.3,"No","Yes","No",0,"Yes","Yes","No","No","Two year","No","Yes","Mailed check",1902.857,34,"No","Yes","7692-CATSL","Male"
"No internet service","No",20,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","Yes","Month-to-month","Yes","No","Electronic check",893.061,33,"No","Yes","9442-UMWRX","Male"
"No","Fiber optic",88.102,"Yes","Yes","Yes",0,"Yes","Yes","No","Yes","Month-to-month","No","Yes","Bank transfer (automatic)",3766.122,41,"No","Yes","0361-VUMHR","Male"
"Yes","DSL",45.66,"Yes","Yes","Yes",0,"Yes","No","No","No","One year","No","Yes","Electronic check",4220.408,46,"No","Yes","1873-IGQUS","Male"
"No internet service","No",19.255,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","Yes","Month-to-month","No","Yes","Mailed check",709.39,11,"Yes","Yes","3304-CLBJV","Male"
"Yes","Fiber optic",100.04,"Yes","No","No",0,"Yes","Yes","No","No","One year","No","No","Electronic check",2925,40,"No","Yes","2014-GGMMV","Male"
"No","Fiber optic",69.653,"Yes","Yes","No",0,"No","No","No","No","Two year","Yes","Yes","Bank transfer (automatic)",889.796,48,"No","Yes","5374-THAWZ","Male"
"No","Fiber optic",70.2,"Yes","No","Yes",0,"Yes","No","No","Yes","Month-to-month","Yes","Yes","Electronic check",5610.612,56,"No","Yes","0075-TCSYB","Female"
"Yes","Fiber optic",105.2,"Yes","Yes","Yes",1,"Yes","Yes","No","No","Month-to-month","No","Yes","Electronic check",2358.776,27,"No","Yes","8132-HJSLD","Female"
"Yes","DSL",56.143,"Yes","Yes","Yes",0,"Yes","Yes","Yes","No","Month-to-month","No","Yes","Credit card (automatic)",1266.94,28,"Yes","Yes","7481-MSXZT","Female"
"Yes","DSL",70.8,"Yes","No","Yes",0,"Yes","No","Yes","No","One year","No","Yes","Credit card (automatic)",7328.16,66,"Yes","Yes","3700-PPPMR","Female"
"No","DSL",45.643,"No","No","No",0,"No","No","No","No","Two year","No","Yes","Bank transfer (automatic)",3894.29,47,"No","Yes","9362-AMTOX","Male"
"No","DSL",70.16,"Yes","Yes","No",1,"Yes","Yes","No","No","Two year","No","Yes","Credit card (automatic)",1799.1837,71,"Yes","Yes","9896-ZEWBQ","Male"
"No","Fiber optic",91.4,"No","No","Yes",0,"No","Yes","No","Yes","Month-to-month","Yes","No","Mailed check",554.2857,12,"Yes","Yes","6996-MHJDR","Female"
"Yes","DSL",51.12,"No","Yes","No",0,"Yes","Yes","No","No","Month-to-month","No","No","Credit card (automatic)",1761.224,17,"No","Yes","7687-XWDHO","Male"
"Yes","DSL",64.4,"Yes","No","Yes",0,"Yes","Yes","Yes","No","One year","No","Yes","Electronic check",2057.143,38,"No","Yes","7566-RZVDD","Male"
"Yes","Fiber optic",98.367,"No","Yes","Yes",0,"Yes","Yes","No","No","One year","No","No","Bank transfer (automatic)",4786,48,"No","Yes","7423-UENAC","Male"
"Yes","Fiber optic",114.143,"No","Yes","Yes",0,"Yes","Yes","Yes","Yes","Month-to-month","Yes","Yes","Electronic check",1013.061,13,"Yes","Yes","8796-YTUMA","Male"
"No","DSL",66.2,"Yes","Yes","Yes",0,"No","Yes","Yes","Yes","Month-to-month","No","Yes","Credit card (automatic)",1115.51,13,"Yes","Yes","4621-DGJLI","Male"
"No","DSL",66,"Yes","Yes","Yes",0,"No","Yes","No","Yes","Month-to-month","Yes","Yes","Credit card (automatic)",276.73,8,"No","Yes","2758-NVOEZ","Female"
"Yes","DSL",70.571,"No","No","Yes",0,"Yes","No","No","Yes","Month-to-month","Yes","No","Electronic check",1942.449,64,"Yes","Yes","0564-FFHKJ","Male"
"No","Fiber optic",80.204,"No","Yes","Yes",0,"Yes","No","No","No","Month-to-month","Yes","Yes","Bank transfer (automatic)",1513.878,68,"Yes","Yes","2425-CCTVT","Female"
"Yes","DSL",66,"No","Yes","Yes",0,"Yes","No","Yes","No","Two year","Yes","No","Electronic check",7443.27,69,"No","Yes","3645-FZCNQ","Female"
"No","DSL",71.4,"No","No","Yes",1,"Yes","No","No","Yes","Month-to-month","Yes","No","Mailed check",1395.51,16,"Yes","Yes","3903-DZMQN","Female"
"No","Fiber optic",114.48,"Yes","Yes","Yes",0,"Yes","Yes","No","No","Month-to-month","Yes","Yes","Electronic check",2722.86,34,"Yes","Yes","1865-AZENJ","Female"
"Yes","DSL",50.898,"No","Yes","Yes",0,"Yes","No","No","No","Month-to-month","No","No","Credit card (automatic)",858.37,32,"No","Yes","9344-VEHQP","Female"
"Yes","Fiber optic",108.357,"Yes","No","No",0,"Yes","Yes","No","No","One year","Yes","Yes","Electronic check",7108.57,65,"Yes","Yes","3641-TVOAV","Female"
"No","Fiber optic",90.5,"No","Yes","Yes",0,"Yes","Yes","No","No","Two year","Yes","Yes","Credit card (automatic)",6075.51,72,"Yes","Yes","1246-KWWIL","Female"
"Yes","Fiber optic",91.52,"No","No","Yes",0,"No","No","Yes","No","One year","Yes","Yes","Credit card (automatic)",940.816,35,"Yes","Yes","5293-LZXZD","Male"
"No","Fiber optic",99.367,"No","Yes","Yes",0,"No","No","No","No","One year","No","Yes","Credit card (automatic)",3018.37,32,"Yes","Yes","4048-LDRPP","Female"
"Yes","DSL",64.806,"No","No","Yes",0,"No","Yes","No","No","Two year","Yes","No","Credit card (automatic)",5968.98,72,"No","Yes","0126-LXCTK","Female"
"No","Fiber optic",100.98,"Yes","Yes","Yes",0,"Yes","Yes","No","No","One year","Yes","Yes","Electronic check",1029.8,17,"No","Yes","1686-CGYHK","Female"
"No","DSL",45.143,"No","No","Yes",0,"No","No","No","Yes","Month-to-month","Yes","Yes","Electronic check",573.06,13,"No","Yes","6908-BMNYW","Female"
"No","DSL",56.449,"Yes","No","Yes",0,"Yes","No","Yes","No","Two year","Yes","Yes","Bank transfer (automatic)",5931.02,72,"Yes","Yes","7827-GMLGT","Male"
"No","Fiber optic",71,"Yes","Yes","Yes",0,"No","Yes","No","Yes","Month-to-month","No","No","Electronic check",2005.714,22,"No","Yes","8124-ORNCZ","Male"
"Yes","DSL",65.17,"Yes","No","Yes",0,"Yes","No","Yes","No","Month-to-month","No","Yes","Electronic check",2272.653,21,"No","Yes","9464-RDPVW","Male"
"No","DSL",35.4,"No","Yes","Yes",0,"No","No","No","No","Month-to-month","No","Yes","Electronic check",622.8571,18,"Yes","Yes","2480-YALKD","Female"
"No","DSL",69.745,"Yes","No","Yes",0,"No","Yes","No","No","One year","No","No","Electronic check",4164.9,43,"Yes","Yes","7739-BWGMX","Female"
"Yes","DSL",84.6,"Yes","No","Yes",0,"Yes","No","Yes","No","Month-to-month","Yes","Yes","Credit card (automatic)",812,30,"Yes","Yes","8345-VFHRU","Male"
"No","Fiber optic",74.42,"Yes","No","Yes",0,"No","No","Yes","No","Two year","Yes","No","Electronic check",5944.49,71,"Yes","Yes","1403-VOBEY","Male"
"No","Fiber optic",103.857,"No","Yes","Yes",0,"Yes","Yes","No","No","Two year","Yes","Yes","Credit card (automatic)",6031.8367,72,"No","Yes","6943-ZSAKZ","Female"
"No","DSL",85.3,"Yes","Yes","Yes",0,"Yes","Yes","No","No","One year","Yes","Yes","Electronic check",5000,53,"Yes","Yes","0608-WATRJ","Male"
"No","Fiber optic",94.439,"Yes","No","No",0,"Yes","No","No","No","Two year","No","No","Electronic check",1541.63,71,"Yes","Yes","6788-VCVHZ","Male"
"No","DSL",64.71,"No","Yes","Yes",0,"No","Yes","No","Yes","Month-to-month","No","No","Electronic check",3943.673,66,"Yes","Yes","5724-MYLTF","Male"
"Yes","DSL",65.0,"Yes","No","Yes",0,"No","No","No","No","Month-to-month","Yes","Yes","Credit card (automatic)",1032.653,12,"No","Yes","6236-IEHPE","Female"
"No","DSL",64.98,"No","Yes","Yes",0,"Yes","No","No","No","Month-to-month","Yes","Yes","Electronic check",2922.04,33,"No","Yes","4793-JAJLB","Female"
"Yes","Fiber optic",76.5,"No","No","No",0,"Yes","No","No","No","One year","Yes","No","Credit card (automatic)",1016.327,53,"Yes","Yes","4659-WBIEC","Female"
"Yes","Fiber optic",103.29,"Yes","No","Yes",0,"Yes","Yes","No","No","Month-to-month","No","No","Credit card (automatic)",3558.37,46,"No","Yes","5199-UZLGP","Male"
"No","DSL",70.408,"No","Yes","Yes",0,"Yes","No","Yes","Yes","Month-to-month","No","Yes","Electronic check",900.0,13,"Yes","Yes","9763-OJOVY","Male"
"No","DSL",90.633,"Yes","Yes","Yes",0,"No","No","Yes","No","One year","Yes","No","Electronic check",1937.551,60,"No","Yes","4594-VVRBX","Female"
"No internet service","No",19.235,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","Two year","No","No","Electronic check",6035.51,72,"No","Yes","8710-VEATV","Female"
"No","DSL",69.673,"No","No","No",1,"Yes","Yes","No","Yes","Month-to-month","No","No","Bank transfer (automatic)",1083.27,14,"Yes","Yes","1305-BZAYT","Female"
"No","DSL",54.714,"Yes","Yes","Yes",0,"Yes","Yes","Yes","No","Month-to-month","No","No","Credit card (automatic)",1274.29,67,"Yes","Yes","6106-CMVQS","Male"
"No","DSL",45.071,"No","No","Yes",0,"No","No","No","Yes","One year","No","Yes","Bank transfer (automatic)",532.24,45,"Yes","Yes","2708-PPNCI","Female"
"No","Fiber optic",79.8,"No","No","Yes",0,"Yes","Yes","No","No","Two year","No","No","Electronic check",6030.204,72,"Yes","Yes","8070-YDBNQ","Female"
"No","DSL",56.367,"Yes","Yes","Yes",0,"No","No","Yes","Yes","Month-to-month","No","Yes","Electronic check",104.898,7,"Yes","Yes","0378-XFHJG","Female"
"No","DSL",29.45,"Yes","No","No",1,"Yes","No","No","No","One year","No","Yes","Electronic check",1568.163,63,"No","Yes","3950-CRMZJ","Female"
"No","Fiber optic",85.2,"No","Yes","Yes",0,"No","Yes","Yes","No","One year","Yes","No","Electronic check",1565.71,54,"No","Yes","9604-ZSRCE","Male"
"Yes","Fiber optic",86.51,"Yes","No","No",0,"Yes","Yes","No","No","One year","No","Yes","Electronic check",859.18,49,"Yes","Yes","5982-ERTAN","Female"
"Yes","DSL",79.51,"No","No","Yes",0,"Yes","No","Yes","No","One year","No","No","Credit card (automatic)",4272.24,63,"Yes","Yes","3721-QDPZL","Male"
"Yes","DSL",66.3,"No","No","Yes",0,"Yes","No","Yes","No","Two year","No","Yes","Bank transfer (automatic)",1295.92,68,"No","Yes","4136-RCSZG","Male"
"No","Fiber optic",81.02,"Yes","Yes","Yes",0,"Yes","Yes","Yes","No","Month-to-month","No","Yes","Mailed check",6993.06,67,"No","Yes","9458-STWVP","Female"
"No","DSL",55,"No","Yes","Yes",1,"No","No","No","Yes","Month-to-month","Yes","Yes","Bank transfer (automatic)",5234.694,55,"Yes","Yes","2758-QYARL","Female"
"Yes","Fiber optic",106.337,"No","Yes","Yes",0,"Yes","Yes","No","No","One year","No","Yes","Electronic check",1236.3265,24,"Yes","Yes","7872-CKDVF","Male"
"Yes","DSL",60.296,"No","Yes","Yes",0,"Yes","No","Yes","No","Month-to-month","No","No","Bank transfer (automatic)",2032.65,38,"No","Yes","9685-TAZZO","Male"
"Yes","Fiber optic",86.2,"No","No","No",0,"Yes","Yes","Yes","No","Month-to-month","No","Yes","Electronic check",61.22,2,"Yes","Yes","5158-XMWXK","Female"
"Yes","Fiber optic",80.8,"No","Yes","No",1,"Yes","Yes","Yes","No","Month-to-month","No","No","Credit card (automatic)",3033.47,36,"Yes","Yes","3872-LAYBQ","Male"
"Yes","Fiber optic",96.91,"No","No","No",0,"Yes","Yes","No","No","Month-to-month","Yes","No","Credit card (automatic)",1566.939,20,"No","Yes","3580-DEPTN","Male"
"Yes","Fiber optic",98.46,"No","Yes","Yes",0,"No","No","No","No","One year","Yes","No","Electronic check",1575.92,54,"No","Yes","1017-TWRDZ","Female"
"Yes","Fiber optic",105.827,"No","No","Yes",0,"Yes","Yes","No","Yes","Month-to-month","Yes","No","Bank transfer (automatic)",1799.592,29,"Yes","Yes","0679-FCKWJ","Male"
"Yes","DSL",85.276,"Yes","Yes","Yes",0,"No","Yes","No","No","Month-to-month","No","No","Electronic check",997.55,13,"No","Yes","9018-DOEVK","Female"
"Yes","Fiber optic",108.0,"Yes","No","No",0,"Yes","Yes","No","Yes","Month-to-month","No","No","Bank transfer (automatic)",55.92,9,"No","Yes","1096-MHLAQ","Male"
"No","DSL",50.0,"Yes","Yes","Yes",0,"No","No","No","No","Month-to-month","Yes","No","Electronic check",662.857,12,"No","Yes","5448-CQPAS","Male"
"No","DSL",35.255,"No","No","Yes",0,"No","No","No","No","Month-to-month","Yes","Yes","Electronic check",523.673,9,"Yes","Yes","9779-RAPQK","Female"
"Yes","DSL",70.469,"Yes","Yes","Yes",0,"No","Yes","No","No","Month-to-month","No","No","Electronic check",2273.061,24,"Yes","Yes","6932-LAEJG","Female"
"No","DSL",55.102,"Yes","No","Yes",0,"No","Yes","Yes","No","Two year","Yes","Yes","Bank transfer (automatic)",4261.224,55,"Yes","Yes","6028-IJULM","Male"
"Yes","DSL",78.694,"Yes","No","Yes",0,"Yes","No","Yes","No","One year","No","Yes","Bank transfer (automatic)",884.898,41,"No","Yes","4904-JISPQ","Male"
"No","Fiber optic",74.0,"Yes","Yes","Yes",0,"Yes","No","Yes","No","Month-to-month","No","Yes","Electronic check",2031.43,29,"Yes","Yes","2568-RCOEB","Female"
"No","Fiber optic",95.72,"No","Yes","Yes",0,"Yes","Yes","Yes","No","Month-to-month","No","Yes","Bank transfer (automatic)",1185.31,20,"Yes","Yes","2754-AGUIH","Male"
"No","DSL",69.2,"No","No","Yes",0,"Yes","No","Yes","No","Two year","No","Yes","Bank transfer (automatic)",5267.35,56,"No","Yes","6747-CTVOI","Female"
"No internet service","No",20.918,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","Month-to-month","No","No","Credit card (automatic)",3092.65,39,"Yes","Yes","1585-GVNAV","Female"
"No","DSL",69.72,"Yes","Yes","Yes",0,"No","No","Yes","No","One year","No","Yes","Bank transfer (automatic)",3775.102,45,"No","Yes","8541-AREZM","Male"
"Yes","DSL",69.898,"No","Yes","Yes",0,"No","No","No","No","Month-to-month","No","No","Bank transfer (automatic)",4134.694,41,"No","Yes","3403-PDNVZ","Female"
"Yes","Fiber optic",105.98,"No","No","No",0,"Yes","Yes","Yes","No","Two year","Yes","Yes","Electronic check",4749.796,72,"No","Yes","1983-YPXHD","Male"
"No","Fiber optic",106.969,"Yes","No","Yes",0,"Yes","No","Yes","No","Month-to-month","No","Yes","Electronic check",1578.37,19,"Yes","Yes","3425-FRGIV","Male"
"No","DSL",24.255,"Yes","No","No",0,"Yes","Yes","No","Yes","Month-to-month","Yes","Yes","Electronic check",481.63,24,"Yes","Yes","8120-KZZOV","Male"
"Yes","DSL",65.01,"Yes","Yes","Yes",0,"Yes","No","No","No","Month-to-month","No","No","Mailed check",2645.306,32,"Yes","Yes","1081-MPTKD","Female"
"Yes","Fiber optic",83.6,"Yes","No","Yes",0,"No","No","No","No","Month-to-month","Yes","Yes","Bank transfer (automatic)",5705.3061,68,"No","Yes","7273-LXHQA","Male"
"No","DSL",60.878,"No","No","Yes",0,"Yes","No","Yes","Yes","Month-to-month","No","Yes","Electronic check",479,7,"Yes","Yes","0007-SPNQH","Female"
"No internet service","No",24.52,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","No","One year","No","No","Bank transfer (automatic)",1035.51,52,"Yes","Yes","6385-UVMBO","Female"
"Yes","Fiber optic",84.49,"No","Yes","No",0,"Yes","No","No","No","One year","Yes","Yes","Electronic check",219.184,14,"Yes","Yes","5123-NZAMQ","Male"
"No internet service","No",20.9,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","Two year","Yes","Yes","Credit card (automatic)",6286.94,65,"No","Yes","1787-XGQFH","Female"
"No","DSL",65.449,"Yes","Yes","Yes",0,"No","No","No","No","Two year","Yes","No","Mailed check",6071,72,"No","Yes","5067-HPFJC","Female"
"No internet service","No",20.54,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","Two year","No","Yes","Credit card (automatic)",3048.98,36,"No","Yes","6840-ABBHG","Female"
"No","Fiber optic",85.9,"Yes","No","Yes",0,"Yes","No","No","No","Month-to-month","No","Yes","Credit card (automatic)",114.286,7,"Yes","Yes","3488-AOQEV","Female"
"No","DSL",60.398,"No","No","Yes",0,"Yes","Yes","No","No","Two year","Yes","No","Credit card (automatic)",1824.9,71,"No","Yes","5121-NZEBO","Female"
"No","DSL",44.31,"Yes","Yes","Yes",0,"Yes","No","No","Yes","Month-to-month","No","Yes","Electronic check",477.96,6,"Yes","Yes","0208-DAYZW","Male"
"No internet service","No",24.102,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","Yes","Month-to-month","No","No","Mailed check",992.653,13,"No","Yes","2355-XSAMO","Female"
"No","DSL",30.0,"Yes","No","Yes",0,"Yes","Yes","Yes","No","Two year","Yes","Yes","Electronic check",5199.183673469388,55,"Yes","Yes","4491-FEZOM","Male"
"Yes","DSL",64.582,"Yes","Yes","Yes",0,"No","No","No","No","Two year","No","Yes","Credit card (automatic)",6869.39,66,"Yes","Yes","3359-JOEQT","Female"
"Yes","DSL",45.3,"No","Yes","Yes",0,"Yes","Yes","No","Yes","Month-to-month","No","No","Electronic check",1785.31,21,"No","Yes","6516-JOOOS","Male"
"Yes","DSL",66.5,"No","No","Yes",0,"Yes","No","No","No","Month-to-month","Yes","Yes","Credit card (automatic)",1455.918,64,"Yes","Yes","1453-WYTEX","Female"
"No","Fiber optic",84.847,"Yes","No","Yes",0,"No","No","No","No","Two year","Yes","Yes","Bank transfer (automatic)",8123.67,72,"No","Yes","9288-NCJQI","Male"
"Yes","DSL",35.42,"No","No","Yes",0,"Yes","Yes","Yes","No","Two year","No","Yes","Bank transfer (automatic)",3642.857,41,"Yes","Yes","0208-YJEYO","Male"
"Yes","Fiber optic",105,"Yes","No","Yes",0,"Yes","Yes","No","Yes","Month-to-month","Yes","No","Mailed check",272.2449,6,"No","Yes","6769-CCCLV","Male"
"No","Fiber optic",106.592,"No","Yes","Yes",0,"Yes","Yes","No","No","Two year","Yes","No","Electronic check",7933.4694,70,"Yes","Yes","1613-GNSZF","Female"
"Yes","DSL",64.398,"Yes","No","Yes",0,"No","No","Yes","No","Month-to-month","Yes","Yes","Electronic check",2192.2448979591836,27,"Yes","Yes","0853-ARERH","Male"
"No","DSL",70.918,"No","Yes","Yes",0,"No","Yes","No","No","Two year","No","Yes","Credit card (automatic)",4877.96,57,"Yes","Yes","9498-OJJFP","Male"
"No internet service","No",20.082,"No internet service","No internet service","No",0,"No internet service","No internet service","No internet service","Yes","Month-to-month","No","No","Bank transfer (automatic)",560.0,22,"Yes","Yes","1973-YLUKN","Female"
"No internet service","No",20.2,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","Yes","Month-to-month","Yes","Yes","Mailed check",509.8,26,"Yes","Yes","0327-OGXGL","Female"
"Yes","Fiber optic",105.857,"No","No","Yes",0,"Yes","Yes","Yes","No","One year","No","No","Electronic check",421.63,21,"Yes","Yes","6247-GULZA","Female"
"Yes","Fiber optic",105.53,"Yes","Yes","Yes",1,"Yes","Yes","Yes","No","One year","Yes","No","Electronic check",5430.204,50,"Yes","Yes","4296-LZFDW","Female"
"No","DSL",64.255,"No","Yes","Yes",0,"No","No","Yes","No","Two year","Yes","Yes","Credit card (automatic)",5946.122,61,"Yes","Yes","2632-YZOHA","Male"
"No","DSL",51.867,"No","No","Yes",0,"Yes","No","Yes","Yes","Month-to-month","No","Yes","Electronic check",2320.816,27,"No","Yes","1027-EZATP","Male"
"Yes","Fiber optic",114.29,"No","No","Yes",1,"Yes","Yes","No","No","Month-to-month","Yes","No","Electronic check",6925.306,67,"No","Yes","2102-FINTJ","Female"
"No","DSL",50.08,"Yes","Yes","Yes",0,"No","Yes","Yes","No","Two year","No","Yes","Electronic check",3376.73,36,"Yes","Yes","3846-LYFDS","Male"
"Yes","Fiber optic",85.18,"No","No","Yes",0,"No","Yes","No","Yes","One year","Yes","No","Electronic check",373.0612,20,"Yes","Yes","3716-AKJSM","Female"
"No","Fiber optic",103.8,"No","No","Yes",0,"Yes","Yes","No","Yes","Month-to-month","No","Yes","Mailed check",748.98,24,"No","Yes","0443-DQKIF","Female"
"Yes","DSL",49.1,"Yes","No","No",0,"Yes","Yes","No","No","Two year","No","Yes","Bank transfer (automatic)",2574.29,30,"No","Yes","0556-NKLOS","Female"
"No internet service","No",24.7,"No internet service","No internet service","Yes",0,"No internet service","No internet service","No internet service","No","Two year","No","Yes","Electronic check",4804.0816,72,"Yes","Yes","9996-EHGKM","Female"
"No","Fiber optic",109.653,"Yes","No","No",0,"Yes","Yes","No","Yes","Month-to-month","No","No","Electronic check",1732.24,22,"Yes","Yes","4785-WHMRD","Female"
"No","DSL",24.816,"Yes","No","No",0,"No","No","Yes","No","Month-to-month","No","Yes","Credit card (automatic)",1157.55,20,"No","Yes","6268-VWLXZ","Male"
"No","DSL",68.85,"Yes","Yes","Yes",0,"Yes","No","Yes","No","One year","No","Yes","Bank transfer (automatic)",3471.43,38,"Yes","Yes","8596-AQZCR","Male"
"Yes","DSL",55.755,"Yes","No","Yes",0,"No","No","Yes","Yes","Month-to-month","Yes","Yes","Electronic check",1997.14,24,"Yes","Yes","8768-WZZCT","Male"
"Yes","DSL",55.684,"No","Yes","No",1,"Yes","No","No","Yes","Month-to-month","No","No","Electronic check",776.3265,38,"Yes","Yes","3845-YLZSE","Male"
"No","Fiber optic",110.184,"No","No","Yes",0,"Yes","Yes","No","No","Month-to-month","Yes","No","Bank transfer (automatic)",157.551,8,"Yes","Yes","2551-KNTKZ","Female"
"No","Fiber optic",103.5,"Yes","No","Yes",0,"Yes","Yes","No","No","One year","No","Yes","Mailed check",1281.63,27,"No","Yes","8088-JNQRI","Male"
"No","DSL",65.4,"No","No","Yes",0,"No","No","Yes","Yes","Month-to-month","No","No","Mailed check",2360.0,62,"Yes","Yes","9487-KRMNL","Male"
